"","Year","State","State ANSI","Data Item","Value","CV (%)"
"1",2022,"CALIFORNIA","06","ACRES BEARING",46093,21.8
"2",2022,"CALIFORNIA","06","ACRES GROWN",46813,21.9
"3",2022,"CALIFORNIA","06","ACRES NON-BEARING",720,50.2
"4",2022,"CALIFORNIA","06","OPERATIONS WITH AREA BEARING",626,26.9
"5",2022,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",651,27.8
"6",2022,"CALIFORNIA","06","OPERATIONS WITH AREA NON-BEARING",85,58.8
"7",2022,"FLORIDA","12","ACRES BEARING",13413,5.9
"8",2022,"FLORIDA","12","ACRES GROWN",13663,5.5
"9",2022,"FLORIDA","12","ACRES NON-BEARING",249,23.3
"10",2022,"FLORIDA","12","OPERATIONS WITH AREA BEARING",280,12.6
"11",2022,"FLORIDA","12","OPERATIONS WITH AREA GROWN",280,12.6
"12",2022,"FLORIDA","12","OPERATIONS WITH AREA NON-BEARING",17,31.6
"13",2022,"NEW YORK","36","ACRES BEARING",751,14.3
"14",2022,"NEW YORK","36","ACRES GROWN",913,14.4
"15",2022,"NEW YORK","36","ACRES NON-BEARING",162,16.9
"16",2022,"NEW YORK","36","OPERATIONS WITH AREA BEARING",439,6.4
"17",2022,"NEW YORK","36","OPERATIONS WITH AREA GROWN",475,5.8
"18",2022,"NEW YORK","36","OPERATIONS WITH AREA NON-BEARING",161,6.1
"19",2022,"NORTH CAROLINA","37","ACRES BEARING",1012,17.4
"20",2022,"NORTH CAROLINA","37","ACRES GROWN",1073,16.9
"21",2022,"NORTH CAROLINA","37","ACRES NON-BEARING",61,18.6
"22",2022,"NORTH CAROLINA","37","OPERATIONS WITH AREA BEARING",322,31.4
"23",2022,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",340,32.7
"24",2022,"NORTH CAROLINA","37","OPERATIONS WITH AREA NON-BEARING",60,49.2
"25",2022,"OREGON","41","ACRES BEARING",1664,19.6
"26",2022,"OREGON","41","ACRES GROWN",1853,17.4
"27",2022,"OREGON","41","ACRES NON-BEARING",188,15.2
"28",2022,"OREGON","41","OPERATIONS WITH AREA BEARING",294,6.7
"29",2022,"OREGON","41","OPERATIONS WITH AREA GROWN",313,7.3
"30",2022,"OREGON","41","OPERATIONS WITH AREA NON-BEARING",54,30.7
"31",2022,"WASHINGTON","53","ACRES BEARING",856,35.2
"32",2022,"WASHINGTON","53","ACRES GROWN",1011,38.7
"33",2022,"WASHINGTON","53","ACRES NON-BEARING",156,97.2
"34",2022,"WASHINGTON","53","OPERATIONS WITH AREA BEARING",287,16.1
"35",2022,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",307,11
"36",2022,"WASHINGTON","53","OPERATIONS WITH AREA NON-BEARING",50,44.1
"37",2017,"CALIFORNIA","06","ACRES BEARING",36759,5.2
"38",2017,"CALIFORNIA","06","ACRES GROWN",36768,5.2
"39",2017,"CALIFORNIA","06","ACRES NON-BEARING",9,NA
"40",2017,"CALIFORNIA","06","OPERATIONS WITH AREA BEARING",658,25.7
"41",2017,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",676,24.5
"42",2017,"CALIFORNIA","06","OPERATIONS WITH AREA NON-BEARING",48,90.6
"43",2017,"FLORIDA","12","ACRES BEARING",9426,16.6
"44",2017,"FLORIDA","12","ACRES GROWN",9499,16.8
"45",2017,"FLORIDA","12","ACRES NON-BEARING",73,86.5
"46",2017,"FLORIDA","12","OPERATIONS WITH AREA BEARING",195,20.8
"47",2017,"FLORIDA","12","OPERATIONS WITH AREA GROWN",201,19.8
"48",2017,"FLORIDA","12","OPERATIONS WITH AREA NON-BEARING",17,96.3
"49",2017,"NEW YORK","36","ACRES BEARING",990,31.4
"50",2017,"NEW YORK","36","ACRES GROWN",1229,21.2
"51",2017,"NEW YORK","36","ACRES NON-BEARING",240,49.5
"52",2017,"NEW YORK","36","OPERATIONS WITH AREA BEARING",518,17
