"","Year","State","State.ANSI","Data.Item","Fertilizer","Value"
"1",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","NITROGEN",393000
"2",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","PHOSPHATE",216000
"3",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","POTASH",393000
"4",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","SULFUR",NA
"5",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",13
"6",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",10
"7",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",13
"8",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",NA
"9",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",165
"10",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",88
"11",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",141
"12",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",NA
"13",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",12.6
"14",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",8.6
"15",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",10.5
"16",2023,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",NA
"17",2023,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",61
"18",2023,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",63
"19",2023,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",72
"20",2023,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",NA
"21",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","NITROGEN",283000
"22",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","PHOSPHATE",52000
"23",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","POTASH",538000
"24",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB","SULFUR",NA
"25",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",12
"26",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",4
"27",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",22
"28",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",NA
"29",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",43
"30",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",29
"31",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",79
"32",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",NA
"33",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",3.6
"34",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",7.6
"35",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",3.6
"36",2023,"FLORIDA",12," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",NA
"37",2023,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",56
"38",2023,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",15
"39",2023,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",57
"40",2023,"FLORIDA",12," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","SULFUR",NA
"41",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","NITROGEN",668000
"42",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","PHOSPHATE",493000
"43",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","POTASH",430000
"44",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB","SULFUR",57000
"45",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","NITROGEN",6
"46",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PHOSPHATE",8
"47",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","POTASH",5
"48",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","SULFUR",2
"49",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","NITROGEN",58
"50",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PHOSPHATE",86
"51",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","POTASH",75
"52",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","SULFUR",16
"53",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","NITROGEN",9.9
"54",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","PHOSPHATE",11.3
"55",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","POTASH",14.3
"56",2019,"CALIFORNIA",6," APPLICATIONS, MEASURED IN NUMBER, AVG","SULFUR",8.2
"57",2019,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","NITROGEN",98
"58",2019,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","PHOSPHATE",49
"59",2019,"CALIFORNIA",6," TREATED, MEASURED IN PCT OF AREA BEARING, AVG","POTASH",49
