"","Year","State","Data.Item","Value","CV...."
"1",2021,"CALIFORNIA","ACRES HARVESTED",4228,45.7
"2",2021,"CALIFORNIA","OPERATIONS WITH AREA HARVESTED",142,19.2
"3",2021,"CALIFORNIA","OPERATIONS WITH SALES",142,19.2
"4",2021,"CALIFORNIA","PRODUCTION, MEASURED IN CWT",1413251,51.6
"5",2021,"CALIFORNIA","SALES, MEASURED IN $",311784980,46
"6",2021,"CALIFORNIA","SALES, MEASURED IN CWT",1412627,51.7
"7",2021,"CALIFORNIA","FRESH MARKET - OPERATIONS WITH SALES",141,20.4
"8",2021,"CALIFORNIA","FRESH MARKET - SALES, MEASURED IN $",NA,NA
"9",2021,"CALIFORNIA","FRESH MARKET - SALES, MEASURED IN CWT",1401384,50.6
"10",2021,"CALIFORNIA","PROCESSING - OPERATIONS WITH SALES",7,60
"11",2021,"CALIFORNIA","PROCESSING - SALES, MEASURED IN $",NA,NA
"12",2021,"CALIFORNIA","PROCESSING - SALES, MEASURED IN CWT",11244,NA
"13",2021,"FLORIDA","ACRES HARVESTED",704,99.8
"14",2021,"FLORIDA","OPERATIONS WITH AREA HARVESTED",10,57.3
"15",2021,"FLORIDA","OPERATIONS WITH SALES",10,57.3
"16",2021,"FLORIDA","PRODUCTION, MEASURED IN CWT",67146,NA
"17",2021,"FLORIDA","SALES, MEASURED IN $",18358396,NA
"18",2021,"FLORIDA","SALES, MEASURED IN CWT",67146,NA
"19",2021,"FLORIDA","FRESH MARKET - OPERATIONS WITH SALES",10,57.3
"20",2021,"FLORIDA","FRESH MARKET - SALES, MEASURED IN $",18358396,NA
"21",2021,"FLORIDA","FRESH MARKET - SALES, MEASURED IN CWT",67146,NA
"22",2021,"NEW YORK","ACRES HARVESTED",38,42.2
"23",2021,"NEW YORK","OPERATIONS WITH AREA HARVESTED",45,26.4
"24",2021,"NEW YORK","OPERATIONS WITH SALES",45,26.4
"25",2021,"NEW YORK","PRODUCTION, MEASURED IN CWT",1755,32.6
