"","Year","Period","State","Data Item","Value"
"1",1998,"YEAR","NEW YORK","ACRES HARVESTED",1600
"2",1998,"YEAR","NEW YORK","ACRES PLANTED",1700
"3",1998,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",115
"4",1998,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7015000
"5",1998,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",61000
"6",1998,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",115
"7",1998,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7015000
"8",1998,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",61000
"9",1998,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",38
"10",1999,"YEAR","NEW YORK","ACRES HARVESTED",1600
"11",1999,"YEAR","NEW YORK","ACRES PLANTED",1700
"12",1999,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",106
"13",1999,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",8268000
"14",1999,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",78000
"15",1999,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",106
"16",1999,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",8268000
"17",1999,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",78000
"18",1999,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",49
"19",2000,"YEAR","NEW YORK","ACRES HARVESTED",1600
"20",2000,"YEAR","NEW YORK","ACRES PLANTED",1700
"21",2000,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",105
"22",2000,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",6825000
"23",2000,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",65000
"24",2000,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",105
"25",2000,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",6825000
"26",2000,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",65000
"27",2000,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",41
"28",2001,"YEAR","NEW YORK","ACRES HARVESTED",1600
"29",2001,"YEAR","NEW YORK","ACRES PLANTED",1700
"30",2001,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",118
"31",2001,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7080000
"32",2001,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",60000
"33",2001,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",118
"34",2001,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7080000
"35",2001,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",60000
"36",2001,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",38
"37",2002,"YEAR","NEW YORK","ACRES HARVESTED",1400
"38",2002,"YEAR","NEW YORK","ACRES PLANTED",1700
"39",2002,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",140
"40",2002,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",8820000
"41",2002,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",63000
"42",2002,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",140
"43",2002,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",8820000
"44",2002,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",63000
"45",2002,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",45
"46",2003,"YEAR","NEW YORK","ACRES HARVESTED",1500
"47",2003,"YEAR","NEW YORK","ACRES PLANTED",1700
"48",2003,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",155
"49",2003,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7750000
"50",2003,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",50000
"51",2003,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",155
"52",2003,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7750000
"53",2003,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",50000
"54",2003,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",33
"55",2004,"YEAR","NEW YORK","ACRES HARVESTED",1500
"56",2004,"YEAR","NEW YORK","ACRES PLANTED",1700
"57",2004,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",160
"58",2004,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",10400000
"59",2004,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",65000
"60",2004,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",160
"61",2004,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",10400000
